our_slug	polycab_url
industries/cables-by-application/automation-and-process-control/polycab-rs-485-300500v-ac-unarmoured-cable	https://polycab.com/polycab-rs-485-300500v-ac-unarmoured-cable/a-5040/p-55652
industries/cables-by-application/automation-and-process-control/polycab-type-bk-bs-6231-switch-gear-and-control-gear-wiring-061kv-ac	https://polycab.com/polycab-type-bk-bs-6231-switch-gear-control-gear-wiring-061kv-ac/a-5040/p-54834
industries/cables-by-application/automation-and-process-control/polycab-h07z-r-bsen-50525-3-41-450750v-ac	https://polycab.com/polycab-h07z-r-bsen-50525-3-41-450750v-ac/a-5040/p-55321
industries/cables-by-application/automation-and-process-control/polycab-h07v-k-bsen-50525-2-31-sc-450750v-ac	https://polycab.com/polycab-h07v-k-bsen-50525-2-31-sc-450750v-ac/a-5040/p-55329
industries/cables-by-application/cement-industry/polycab-02yy-k-1100v-ac-is-694	https://polycab.com/polycab-02yy-k-1100v-ac-is-694/a-5046/p-54810
industries/cables-by-application/cement-industry/polycab-h03s-k-bsen-50525-2-41-sc-300300v-ac	https://polycab.com/polycab-h03s-k-bsen-50525-2-41-sc-300300v-ac/a-5050/p-54937
industries/cables-by-application/cement-industry/polycab-h05rn-f-bsen-50525-2-21-mc-300500v-ac	https://polycab.com/polycab-h05rn-f-bsen-50525-2-21-mc-300500v-ac/a-5050/p-54830
industries/cables-by-application/cement-industry/polycab-h05rr-f-bsen-50525-2-21-mc-300500v-ac	https://polycab.com/polycab-h05rr-f-bsen-50525-2-21-mc-300500v-ac/a-5050/p-54945
industries/cables-by-application/cement-industry/polycab-h05s-uh05s-k-bsen-50525-2-41-sc-300500v-ac	https://polycab.com/polycab-h05s-uh05s-k-bsen-50525-2-41-sc-300500v-ac/a-5050/p-54943
industries/cables-by-application/automation-and-process-control/polycab-type-mc-al-conductor-ul-1569-600v	https://polycab.com/polycab-type-mc-al-conductor-ul-1569-600v/a-5040/p-54951
industries/cables-by-application/cement-industry/polycab-h07rn-f-bsen-50525-2-21-mc-450750v-ac	https://polycab.com/polycab-h07rn-f-bsen-50525-2-21-mc-450750v-ac/a-5050/p-54832
industries/cables-by-application/cement-industry/polycab-hffr-01zz-k03xzz-k-1100v-ac-is-17048	https://polycab.com/polycab-hffr-01zz-k03xzz-k-1100v-ac-is-17048/a-5044/p-54816
industries/cables-by-application/cement-industry/polycab-hffr-01zz-k03xzz-k-mc-1100v-ac-is-17048	https://polycab.com/polycab-hffr-01zz-k03xzz-k-mc-1100v-ac-is-17048/a-5044/p-54820
industries/cables-by-application/cement-industry/polycab-hffr-04xz-k-1100v-ac-is-17048	https://polycab.com/polycab-hffr-04xz-k-1100v-ac-is-17048/a-5044/p-54923
lighting/downlight/pearl-led-swivel-spot-3-in-1	https://polycab.com/pearl-led-swivel-spot-3-in-1-6-wattage-round-3-in-1/c-4990/p-58021
industries/cables-by-application/automation-and-process-control/polycab-type-mc-pvc-jacketed-al-conductor-ul-1569-600v	https://polycab.com/polycab-type-mc-pvc-jacketed-al-conductor-ul-1569-600v/a-5040/p-54953
