=== DATASHEET FILL (DRY RUN — no DB writes) ===
Products with missing datasheet: 499
Mapped to a specific range brochure: 280
Mapped to B2B all-products fallback: 219

By brochure:
   219  B2B All-Products (fallback)
    60  Switches
    49  LED Lighting
    37  LT Cable
    30  Communication & Data Cable
    30  House Wires
    25  HT Cable (MV)
    12  Fans
     9  Dowells
     7  Professional Lighting
     7  Switchgear
     5  Solar Range
     4  Rubber Cable
     1  EHV Cable
     1  Instrumentation Cable
     1  Fire Survival Cable
     1  Solar DC Cable
     1  Green Wire

B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-cu-type-tctc-er-thhnthwn-2-tray-cable	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
House Wires	industries/cables-by-application/commercial/polycab-etira-fr-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
House Wires	industries/cables-by-application/commercial/polycab-etira-frlsh-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
Communication & Data Cable	industries/cables-by-application/commercial/polycab-festoon-flat-075sqmm-multicore-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
Communication & Data Cable	industries/cables-by-application/commercial/polycab-festoon-flat-15sqmm-multicore-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
Communication & Data Cable	industries/cables-by-application/commercial/polycab-festoon-flat-4sqmm-multicore-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
House Wires	industries/cables-by-application/commercial/polycab-fr-lf-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
House Wires	industries/cables-by-application/commercial/polycab-fr-lsh-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-h03z1z1h2-fh05z1z1h2-f-bsen-50525-3-11	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-h05v2v2d3-f-bsen-50525-2-11-mc-300500v-ac	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-h05vvh2-f-bsen-50525-2-11-mc-300500v-ac	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-nmb-cable-ul-719-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/datacenters	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-thhn-cu-ul-83-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
